==========================================================================================================================
1a  EXACT-DISCRETE COEFFICIENT COMPARATOR -- E5 WEIBULL DESIGN
    A = Efron + Breslow | B = Efron + cloglog profile | C = exact + cloglog profile | D = grouped joint MLE
    D_x = NLL(arm x) - NLL(arm D).  A-B is the baseline, B-C is Efron vs exact, C-D is what remains.
    shrink = slope of mean(beta_hat) on the true beta; 1.000 unbiased, < 1 attenuated.  20 reps per cell.
    true beta = [ 0.7 -0.5  0.3  0.4 -0.6]   exact budget = 8,000,000
==========================================================================================================================
    cloglog family: D_A, D_B, D_C vs the cloglog joint MLE.  logit family: D_Bl, D_Cl vs the LOGIT joint MLE --
    the exact method judged in its own metric, so that B vs C is tie handling and not link choice.
==========================================================================================================================
     shape  cens      n   T  modal  dmax       D_A       D_B       D_C      D_Bl      D_Cl  shrEfron  shrExact   shrGrp  |b|Efr  |b|Exa  |b|Grp  exactC
       1.5    0%   2000  40  0.075    91  -0.00084  -0.00002  +0.00091  +0.00060  -0.00000     0.982     1.039    0.986    1.8%    4.0%    1.6%  20/20
       1.5    0%  10000   2  0.759  5315  +0.24469  +0.02646        --  +0.07251        --     0.573        --    1.008   42.9%      --    0.7%  0/20
       1.5    0%  10000   4  0.496  3470  +0.11410  +0.00710        --  +0.03783        --     0.810        --    0.996   18.9%      --    0.5%  0/20
       1.5    0%  10000   8  0.255  1787  +0.03707  +0.00058        --  +0.01207        --     0.946        --    1.003    5.3%      --    0.4%  0/20
       1.5    0%  10000  20  0.117   819  +0.00758  +0.00007  +0.00240  +0.00294  +0.00000     0.991     1.105    1.001    1.6%   10.1%    0.9%  20/20
       1.5    0%  10000  40  0.073   420  +0.00205  +0.00001  +0.00066  +0.00086  +0.00000     0.992     1.048    0.995    0.8%    4.8%    0.6%  20/20
       1.5   20%    500   2  0.795   246  +0.15474  +0.00297  +0.09549  +0.04273  -0.00012     0.585     1.501    0.846   42.4%   49.3%   16.6%  20/20
       1.5   20%    500   4  0.541   165  +0.06895  -0.00110  +0.04813  +0.02590  -0.00010     0.814     1.415    0.983   17.3%   44.1%    4.4%  20/20
       1.5   20%    500   8  0.295    89  +0.02612  +0.00030  +0.01364  +0.01082  -0.00001     0.926     1.213    0.993    7.4%   22.3%    4.5%  20/20
       1.5   20%    500  20  0.136    43  +0.01255  -0.00160  +0.00553  -0.00005  -0.00060     0.981     1.097    0.999    3.3%    9.6%    3.6%  20/20
       1.5   20%    500  40  0.075    22  +0.01517  -0.00399  -0.00052  +0.00278  +0.00097     1.005     1.062    1.014    1.8%    6.1%    2.4%  20/20
       1.5   20%   2000   2  0.802   975  +0.16530  +0.00462  +0.08790  +0.04181  -0.00001     0.561     1.400    0.766   44.7%   38.2%   24.4%  20/20
       1.5   20%   2000   4  0.541   658  +0.08810  +0.00321  +0.03438  +0.02538  -0.00002     0.801     1.360    0.946   19.3%   37.2%    4.6%  20/20
       1.5   20%   2000   8  0.293   353  +0.02899  -0.00048  +0.01745  +0.00760  -0.00003     0.945     1.235    1.001    5.6%   23.5%    0.8%  20/20
       1.5   20%   2000  20  0.129   154  +0.00712  -0.00003  +0.00307  +0.00214  -0.00001     0.991     1.105    1.002    1.5%   10.3%    1.7%  20/20
       1.5   20%   2000  40  0.070    88  -0.00141  -0.00008  +0.00170  -0.00019  -0.00004     1.007     1.066    1.011    1.0%    6.8%    1.3%  20/20
       1.5   20%  10000   2  0.802  4899  +0.16014  +0.00817        --  +0.04627        --     0.558        --    0.764   44.4%      --   23.7%  0/20
       1.5   20%  10000   4  0.543  3294  +0.08858  +0.00397        --  +0.02957        --     0.809        --    0.955   19.4%      --    4.7%  0/20
       1.5   20%  10000   8  0.291  1737  +0.03137  +0.00075        --  +0.01122        --     0.930        --    0.983    7.0%      --    1.6%  0/20
       1.5   20%  10000  20  0.129   792  +0.00556  +0.00002  +0.00266  +0.00234  -0.00000     0.989     1.103    0.999    1.2%   10.3%    0.4%  20/20
       1.5   20%  10000  40  0.067   410  +0.00108  -0.00000  +0.00074  +0.00069  +0.00000     0.998     1.055    1.001    0.6%    5.3%    0.5%  20/20
       1.5   40%    500   2  0.835   223  +0.12419  +0.00066  +0.07222  +0.02681  -0.00006     0.594     1.283    0.744   41.1%   28.0%   26.3%  20/20
       1.5   40%    500   4  0.587   158  +0.06979  +0.00140  +0.03483  +0.02221  -0.00007     0.794     1.320    0.946   21.0%   31.6%    5.8%  20/20
